번호,발행시간,뉴스제목,단축링크
1,"Thu, 29 Jan 2026 01:25:00 GMT",AI도 못 푸는 ‘초고난도 시험’ 등장…한국인도 같이 문제 냈다 - 조선일보,https://tinyurl.com/29qhuqym
2,"Mon, 26 Jan 2026 21:00:12 GMT",막내는 어디로 갔나…인공지능이 끊어버린 ‘취업 사다리’ [AI가 삼킨 청년들②] - 쿠키뉴스,https://tinyurl.com/2cj8aajl
3,"Thu, 29 Jan 2026 02:47:37 GMT","美의원 ""中 딥시크 AI 최적화, 엔비디아가 도왔다…군도 사용"" - 연합뉴스",https://tinyurl.com/2cgngonh
4,"Thu, 29 Jan 2026 04:31:48 GMT","美의회 “엔비디아, 中 딥시크 AI 최적화 지원…이후 中군도 사용” - v.daum.net",https://tinyurl.com/27uqp96s
5,"Tue, 27 Jan 2026 03:49:00 GMT","마이크로소프트, 차세대 AI 칩 공개···‘탈 엔비디아’ 가속 - 경향신문",https://tinyurl.com/27cgcv4h
6,"Wed, 28 Jan 2026 09:51:06 GMT",인공지능 학습에 공공저작물 자유롭게 활용…'AI 유형' 신설 - 대한민국 정책브리핑,https://tinyurl.com/2akk75t8
7,"Wed, 28 Jan 2026 21:00:00 GMT","“인물 주변 살짝 지웠는데 AI 생성물 표시?"" 인공지능기본법 적용 어디까지 - 뉴시스",https://tinyurl.com/25qglosb
8,"Wed, 21 Jan 2026 09:09:39 GMT",'인공지능기본법' 22일 시행…생성형 AI 결과물 '워터마크' 표시 의무 - 대한민국 정책브리핑,https://tinyurl.com/222yao5n
9,"Wed, 28 Jan 2026 10:41:15 GMT","‘세계 최초’ 매몰된 AI 기본법 구멍, 어떻게 메워야 하나 - 미디어오늘",https://tinyurl.com/2acdd7cx
10,"Thu, 29 Jan 2026 00:46:41 GMT",‘울산 AI사업단’ 출범…맞춤형 인공지능 활용·확산 추진 - 문화일보,https://tinyurl.com/28k3dh42
