번호,발행시간,뉴스제목,단축링크
1,"Thu, 02 Apr 2026 06:48:22 GMT","AI가 2분 만에 표심 읽어... 여론조사, 사람 필요없다? - 조선일보",https://tinyurl.com/267qpwf4
2,"Wed, 01 Apr 2026 11:22:00 GMT","여성 개발자에 “형, 힘든 거 인정”…AI 젠더 편향 언제쯤 사라질까 - 한겨레",https://tinyurl.com/25qc5uqb
3,"Thu, 02 Apr 2026 21:32:36 GMT",검색창 입력 시대는 끝…카메라로 벚꽃 찍으니 만개 시기까지 '척척'[AI 비서 시대]③ - v.daum.net,https://tinyurl.com/24vupfwa
4,"Thu, 02 Apr 2026 21:00:06 GMT",서울로봇인공지능과학관서 청소년 로봇·AI 특강 - 연합뉴스,https://tinyurl.com/2d99rw5k
5,"Wed, 01 Apr 2026 03:28:00 GMT","어른도 흥미로운 AI·로봇 체험, '서울로봇인공지능과학관' - 서울특별시",https://tinyurl.com/27svnyru
6,"Thu, 02 Apr 2026 21:03:00 GMT","서울로봇인공지능과학관, 청소년 로봇·AI 교육 9개 자치구로 확대 - 네이트",https://tinyurl.com/2b6nas4y
7,"Thu, 02 Apr 2026 07:00:28 GMT",'규제프리 인공지능 실증도시' 광주시·정부 첫 실무 논의 - 뉴시스,https://tinyurl.com/2672t56s
8,"Thu, 02 Apr 2026 08:09:12 GMT","""K-AI 미래 찾는다""…'인공지능 챔피언·루키 대회' 개막 - 연합뉴스",https://tinyurl.com/28nd3glv
9,"Thu, 02 Apr 2026 12:41:00 GMT","""지은아 네 말이 다 맞아""…아부만 하는 AI랑 대화했다가 결국 '이지경'까지 - 네이트",https://tinyurl.com/25clfncr
10,"Fri, 03 Apr 2026 00:50:34 GMT","""그래 그래, 네 말이 다 맞지""⋯AI '아부 답변'에 판단력 무너진다? - v.daum.net",https://tinyurl.com/2dnxz6j4
