번호,발행시간,뉴스제목,단축링크
1,"Fri, 04 Sep 2026 02:11:45 GMT",AI로 일하는 공무원들…행정현장에서 혁신 이끈다 - 지디넷코리아,https://tinyurl.com/26gq6ls4
2,"Fri, 04 Sep 2026 03:24:20 GMT","로컬 AI의 새 선택지, 언슬로스 데스크톱의 가능성 - itworld.co.kr",https://tinyurl.com/2yhua6nk
3,"Sun, 06 Sep 2026 01:35:03 GMT","이재명 대통령, 프랑스 국빈방문…인공지능·우주·원자력·바이오 협력 확대 - aitimes.kr",https://tinyurl.com/2dxwwolh
4,"Sun, 06 Sep 2026 01:24:51 GMT","SK·울산상의, ‘울산포럼 2026’ 개최…제조 AX·일상 AI 논의 - v.daum.net",https://tinyurl.com/2ck99h8x
5,"Sun, 06 Sep 2026 01:15:03 GMT","SK·울산상의, ‘2026 울산포럼’ 개최…제조업 AX·생활 AI 미래 논의 - v.daum.net",https://tinyurl.com/254bkfso
6,"Sun, 06 Sep 2026 00:30:18 GMT","SK·울산상의, 산업부터 일상까지 확산한 AI로 지역 혁신 방안 찾는다 - 마켓인",https://tinyurl.com/292ma3p4
7,"Sat, 05 Sep 2026 21:00:07 GMT",[마켓인사이트] 오픈AI발 인공지능 혁신…韓반도체 다시 뛰나 - 연합뉴스,https://tinyurl.com/2cz4bt7q
8,"Sat, 05 Sep 2026 05:28:00 GMT",“AI가 가라는대로” 올라갔다가… 해발 4000m 산 조난 신세 - 동아일보,https://tinyurl.com/23njdhq6
9,"Sat, 05 Sep 2026 03:00:00 GMT",SKT '수요'·KT '이음'·카카오 '편리'…모두의 AI 개발 시동 - 전자신문,https://tinyurl.com/238kewxu
10,"Sat, 05 Sep 2026 03:33:12 GMT",전화·카톡·검색으로 쓰는 국산 AI… ‘모두의 인공지능’ 개발 속도 - v.daum.net,https://tinyurl.com/22rtookd
