번호,발행시간,뉴스제목,단축링크
1,"Sun, 23 Aug 2026 02:20:00 GMT",학교 파고든 AI···전북 “생기부 활용 전면 배제” - 경향신문,https://tinyurl.com/26hg96yk
2,"Sun, 23 Aug 2026 08:51:02 GMT","""생존본능 탑재하는 AI … 괴물이 될지는 인간의 몫"" - 매일경제",https://tinyurl.com/2b4r35cd
3,"Mon, 24 Aug 2026 00:35:18 GMT",AI 투자 성과 높이는 실행 전략 한자리에...'NABS 2026' 9월 18일 개최 - 전자신문,https://tinyurl.com/22xxk7c2
4,"Mon, 24 Aug 2026 00:13:33 GMT","전남광주시, 뇌과학자 장동선 박사 초청 인공지능 특강 - v.daum.net",https://tinyurl.com/2bw8gk6e
5,"Mon, 24 Aug 2026 00:25:16 GMT","전남광주시, AI 분석 도우미 활용 정책 수립 - v.daum.net",https://tinyurl.com/2xleaohl
6,"Sun, 23 Aug 2026 23:43:00 GMT",인공지능·데이터 행정 혁신...전남광주특별시가 이끈다 - 이투데이,https://tinyurl.com/28vqd7nv
7,"Sun, 23 Aug 2026 23:00:34 GMT",GPT에 해킹됐던 AI 플랫폼 허깅페이스…18조원에 매각 추진 - 연합뉴스,https://tinyurl.com/234oz2wo
8,"Sun, 23 Aug 2026 22:45:03 GMT","엔비디아, AI 개발사 우회 인수…첨단 오픈소스 AI 개발 - 연합뉴스",https://tinyurl.com/2y25xvv5
9,"Sun, 23 Aug 2026 23:27:49 GMT","다이나믹솔루션, 엔비디아와 '차세대 BCI·AI칩' 기술 협력 논의…젠슨 황 장녀 방문 - v.daum.net",https://tinyurl.com/29ch3f4f
10,"Sun, 23 Aug 2026 17:37:00 GMT",소버린 AI 추진할수록 엔비디아 종속 심화...대안은? - YTN,https://tinyurl.com/23zf8ad8
