번호,발행시간,뉴스제목,단축링크
1,"Mon, 11 May 2026 23:44:01 GMT",날 망치러 온 나의 조언자…‘예스맨 AI’의 위험한 아첨 [팩플] - 중앙일보,https://tinyurl.com/2736chsa
2,"Sun, 10 May 2026 15:02:11 GMT","인공지능 ""이제 걷고, 움직이고, 행동한다""…AI 혁신의 정점 찍어, 제9회 국제인공지능산업대전(AI EXPO KOREA 2026) 성료 - 인공지능신문",https://tinyurl.com/246z75gr
3,"Tue, 12 May 2026 00:23:06 GMT","노보, 제조 AI 혁신으로 대한민국 인공지능 혁신대상 수상 - 전자신문",https://tinyurl.com/26qgbl2y
4,"Tue, 12 May 2026 00:00:41 GMT","디티앤씨알오, '인공지능 혁신대상' 종합대상 수상 - newsis.com",https://tinyurl.com/292v7cac
5,"Tue, 12 May 2026 01:49:09 GMT","민주당 임문영, 광산을 보궐 출마선언…""광주를 AI 심장도시로"" - v.daum.net",https://tinyurl.com/2bj8enpf
6,"Tue, 12 May 2026 01:55:06 GMT","“나랏돈 빼먹으면 패가망신”…기획처, AI 고도화로 부정수급 찾는다 - v.daum.net",https://tinyurl.com/2bww4v5w
7,"Mon, 11 May 2026 04:41:15 GMT","인공지능 데이터센터, 더 빠르고 쉽게 구축합니다 - 전체 | 카드/한컷 | 멀티미디어 - 대한민국 정책브리핑",https://tinyurl.com/2ab3byhu
8,"Tue, 12 May 2026 00:45:47 GMT","동의과학대, 전교생 5500명 전원 ‘AI 계정’ 부여… AX 거점 도약 - 한국대학신문",https://tinyurl.com/27al7m2e
9,"Mon, 11 May 2026 00:00:00 GMT",[TODAY인] 인공지능 대전환 시대…경인교대 미래 전략은? - YTN 사이언스,https://tinyurl.com/2ca8mbwk
10,"Mon, 11 May 2026 09:42:49 GMT","[종합] 삼성SDS 컨소, 국가AI컴퓨팅센터 주도…NPU 생태계 육성도 품는다 - 지디넷코리아",https://tinyurl.com/2xqvp9h7
