번호,발행시간,뉴스제목,단축링크
1,"Thu, 18 Jun 2026 01:44:00 GMT","""휴머노이드 경쟁, 정부가 첫 고객 돼야...머리·몸 동시 개발이 핵심"" - 지디넷코리아",https://tinyurl.com/25eeotot
2,"Sat, 20 Jun 2026 01:23:18 GMT","“AI·드론·애니 키운다”…日 정부, 2040년까지 3500조원 투입 - 서울경제",https://tinyurl.com/2a6jst3c
3,"Fri, 19 Jun 2026 04:21:15 GMT","[AI픽] 배경훈 ""피지컬 AI 1강으로""…얼라이언스 실행단계 돌입(종합) - v.daum.net",https://tinyurl.com/2dhbgmcg
4,"Fri, 19 Jun 2026 06:41:42 GMT","AI 대부 얀 르쿤 ""xAI는 실패작""... AI 거품도 경고 - 조선일보",https://tinyurl.com/2yoydoue
5,"Fri, 19 Jun 2026 04:44:46 GMT","'AI 대부' 르쿤의 경고…""xAI는 실패작, AI 거품 터질 수 있다"" - v.daum.net",https://tinyurl.com/2ymcepna
6,"Sat, 20 Jun 2026 01:00:36 GMT","'AI 거장' 르쿤의 경고…""머스크 xAI는 실패작, AI 거품 붕괴 위험"" - 머니투데이",https://tinyurl.com/2blkb5hm
7,"Sat, 20 Jun 2026 00:12:02 GMT","한국동서발전, '풍력 발전량 예측 인공지능 경진대회' 개최 - v.daum.net",https://tinyurl.com/2dag525o
8,"Sat, 20 Jun 2026 00:50:22 GMT","마크애니, 'AI DLP'로 프롬프트 유출 문제 해결 - 지디넷코리아",https://tinyurl.com/2y8loz9q
9,"Fri, 19 Jun 2026 00:00:00 GMT",인공지능 국방로봇 생태계 구축...K-국방 중심지로 도약 - YTN 사이언스,https://tinyurl.com/2b7tkv45
10,"Fri, 19 Jun 2026 01:56:26 GMT",충남교육청 인공지능직업교육센터 개관…6개 미래산업 실습 - 연합뉴스,https://tinyurl.com/25xotlo4
