번호,발행시간,뉴스제목,단축링크
1,"Sun, 19 Apr 2026 22:02:03 GMT",“과제명에 ‘AI’ 빠지면 떨어진다...AI 비중 낮은 연구도 지원 필요해” - 조선일보,https://tinyurl.com/28s3q35a
2,"Sun, 19 Apr 2026 11:00:03 GMT",정체불명 이미지 AI '덕테이프'…나노바나나 대항마 될까 - 지디넷코리아,https://tinyurl.com/2dxv8u2v
3,"Tue, 21 Apr 2026 01:19:21 GMT","트웰브랩스, 영상 AI '페가수스 1.5' 공개…""장면 찾기에서 구조 설계로"" 진화 - 인공지능신문",https://tinyurl.com/2axfezqw
4,"Tue, 21 Apr 2026 01:05:00 GMT","딥엑스·현대차, 로봇형 피지컬 AI 플랫폼 공동 개발키로 - v.daum.net",https://tinyurl.com/2y9cls75
5,"Tue, 21 Apr 2026 00:55:25 GMT","대구가톨릭대, 5월 'DCU:AI' 정식 오픈…""학사 편의↑"" - newsis.com",https://tinyurl.com/22v8fos7
6,"Mon, 20 Apr 2026 22:00:00 GMT","웹에서 AI 불러 글·영상 요약, 메일 전송도…제미나이 입은 크롬 [팩플] - 중앙일보",https://tinyurl.com/2cugc4mj
7,"Tue, 21 Apr 2026 00:00:58 GMT","'인공지능 대전환 시대', 국민권익위가 세우는 새로운 행정 기준 - 서울Pn",https://tinyurl.com/2c3yvmsz
8,"Tue, 21 Apr 2026 01:00:03 GMT","구광모 'ABC 전략' 또 통했다…LG, 에이전틱 AI로 암 치료 설계 '하루'로 단축 - 지디넷코리아",https://tinyurl.com/2doupjgk
9,"Tue, 21 Apr 2026 01:00:00 GMT","LG, 미국 암연구학회서 '암 에이전틱 AI' 연구성과 공개 - newsis.com",https://tinyurl.com/23urldj2
10,"Tue, 21 Apr 2026 01:03:13 GMT","""암 치료하는 인공지능""…LG, 미국서 연구성과 공개 - 연합인포맥스",https://tinyurl.com/255wp2qk
