번호,발행시간,뉴스제목,단축링크
1,"Mon, 15 Jun 2026 02:28:07 GMT","[AI는 지금] 美는 성능, 中은 수익화 속도전…韓 AI '독자 모델'만으론 역부족 - 지디넷코리아",https://tinyurl.com/297pdlhf
2,"Sat, 13 Jun 2026 21:01:00 GMT",은둔 청년에게 AI는 산소 호흡기였다 - KBS 뉴스,https://tinyurl.com/27w8nl6a
3,"Tue, 16 Jun 2026 02:24:43 GMT","민선 9기 전주시, AI 수도 도약 시동…""시민 데이터 주권 보장"" - 연합뉴스",https://tinyurl.com/25oelfk8
4,"Tue, 16 Jun 2026 02:21:04 GMT","[단독] 삼성전자, 보스턴다이내믹스 지분 인수 타진…“피지컬 AI는 핵심 축” - v.daum.net",https://tinyurl.com/2384e455
5,"Tue, 16 Jun 2026 00:06:00 GMT","이준석 대표 ""美와 시차가 한국 AI 데이터센터 경쟁력"" - 조선일보",https://tinyurl.com/26jq9et4
6,"Tue, 16 Jun 2026 02:24:02 GMT","AI 데이터센터 냉각 전력 10분의 1로…KAIST, '초미세 물길' 냉각 기술 개발 - v.daum.net",https://tinyurl.com/23ls4bzm
7,"Tue, 16 Jun 2026 00:58:51 GMT","가온전선, 미국 AI데이터센터 전력인프라 확대…생산능력 2배로 - 연합뉴스",https://tinyurl.com/2xldxw36
8,"Tue, 16 Jun 2026 02:08:06 GMT",공간정보 규제 풀어 인공지능(AI)·자율주행 키운다 - 서울Pn,https://tinyurl.com/2c9go8zk
9,"Tue, 16 Jun 2026 02:01:31 GMT",AI·자율주행 개발 쉬워진다…공간정보 보안규제 완화 - v.daum.net,https://tinyurl.com/26fet3rd
10,"Tue, 16 Jun 2026 02:02:45 GMT","AI·자율주행 날개 달아준다… 국토부, 공간정보 보안 규제 완화 - 조선비즈 - Chosunbiz",https://tinyurl.com/27njwqyv
