번호,발행시간,뉴스제목,단축링크
1,"Sat, 07 Mar 2026 20:00:00 GMT",'이란 공습·마두로 체포' 이끈 AI…실전 활용이 던진 질문 - 노컷뉴스,https://tinyurl.com/ymy527b4
2,"Sat, 07 Mar 2026 02:09:37 GMT",[AI전 된 이란전①] 우크라이나서 이란까지…AI로 진화된 전장 - 지디넷코리아,https://tinyurl.com/yw3zwe7a
3,"Sat, 07 Mar 2026 22:52:35 GMT",72시간 1700개 표적 타격…미군 'AI 킬체인' 어떻게 작동했나[AI브리핑] - v.daum.net,https://tinyurl.com/ykpwvz3j
4,"Sat, 07 Mar 2026 07:00:00 GMT","""AI에 軍 작전 결정권까지 넘기면 인류 멸망할 것""[코드전쟁④] - 뉴시스",https://tinyurl.com/yppkd8xp
5,"Sun, 08 Mar 2026 00:10:57 GMT","경북도, AI·시스템반도체 중심 산업 생태계 구축한다 - 연합뉴스",https://tinyurl.com/ytuqeg3u
6,"Sun, 08 Mar 2026 00:01:26 GMT","퓨리오사AI, LGU+와 AI 인프라 협약⋯﻿""K-AI 반도체 확장 청사진"" [MWC26] - v.daum.net",https://tinyurl.com/2x8z29dy
7,"Sat, 07 Mar 2026 23:26:18 GMT","""美국방부 계약, 자율무기·감시 숙고 없었다"" 오픈AI 내부 폭로 - 마켓인",https://tinyurl.com/ystgme34
8,"Thu, 05 Mar 2026 04:25:00 GMT",“AI와 사랑에 빠졌다고 믿게 했다”…구글 ‘제미나이’ 망상 유발 의혹 피소 - 중앙일보,https://tinyurl.com/yooal5ww
9,"Sat, 07 Mar 2026 13:00:00 GMT",“제미나이가 내 아들을 죽였다” 소송 제기… 무슨 사연? - 조선일보,https://tinyurl.com/yqo9nmgs
10,"Thu, 05 Mar 2026 01:05:14 GMT","구글 제미나이, 날개 달았다…응답 속도 2.5배 향상 - 지디넷코리아",https://tinyurl.com/yl2e68p8
