번호,발행시간,뉴스제목,단축링크
1,"Tue, 08 Sep 2026 22:27:22 GMT","오픈AI, 세계 7대 수학 난제 ‘나비에-스토크스 방정식’ 88시간 만에 풀어 - 뉴시스",https://tinyurl.com/26fgvcxr
2,"Mon, 07 Sep 2026 20:02:17 GMT","[단독] “40년 수학 난제, AI로 두달 만에 해결… 필즈상 사라질지도 몰라” - v.daum.net",https://tinyurl.com/2bydmrhg
3,"Wed, 09 Sep 2026 01:51:22 GMT","오픈AI ""90년 수학 난제 풀었다""…AI 에이전트 1만개가 88시간 협업 - 뉴시스",https://tinyurl.com/26t7ljeb
4,"Tue, 08 Sep 2026 08:45:00 GMT",국가AI전략위 부위원장으로 돌아온 하정우 “국민 체감하는 성과 만들겠다” - 경향신문,https://tinyurl.com/2ym24wsz
5,"Wed, 09 Sep 2026 01:44:56 GMT","캠코, JDC와 감사 역량 강화 협약…인공지능(AI) 감사기법 교류 - 전자신문",https://tinyurl.com/25xgg2jh
6,"Wed, 09 Sep 2026 01:46:00 GMT","한 총리 ""한국-아프리카, AI 대전환 기회로 공동 번영·도약 이뤄야"" - v.daum.net",https://tinyurl.com/24jpps6x
7,"Wed, 09 Sep 2026 01:49:41 GMT",“저는 인간의 적이 아니에요”… 첫 인터뷰 나선 AI 배우의 뜻밖의 한마디 - 전자신문,https://tinyurl.com/29jd7z36
8,"Wed, 09 Sep 2026 01:35:00 GMT",CNN 인터뷰에 등장한 AI 배우 “전 여러분의 적이 아니에요. 이게 핵심이죠” - 동아일보,https://tinyurl.com/23pbcdbw
9,"Tue, 08 Sep 2026 21:09:00 GMT","CNN과 인터뷰한 AI 배우 ""저는 여러분의 적이 아니에요"" - v.daum.net",https://tinyurl.com/2ye5u8qn
10,"Wed, 09 Sep 2026 00:50:44 GMT","“내년 말 AI 통제 못 할 수도”…앤스로픽 연구원, 경고 후 퇴사 - 매일경제",https://tinyurl.com/2d29kz94
