번호,발행시간,뉴스제목,단축링크
1,"Fri, 06 Mar 2026 06:06:00 GMT","한국 연구진, 위성사진으로 슬럼 찾는 AI 개발… AAAI 최우수논문상 - 조선일보",https://tinyurl.com/274kc2zk
2,"Fri, 06 Mar 2026 00:54:12 GMT","""AI가 직접 계획하고 코드까지 짠다""…GPT-5.4 공개 - 지디넷코리아",https://tinyurl.com/28kuo9wo
3,"Fri, 06 Mar 2026 02:07:49 GMT","오픈AI 신모델 GPT-5.4 공개…""이젠 제미나이에 안되네"" - 한국경제",https://tinyurl.com/26kfgyz7
4,"Fri, 06 Mar 2026 22:00:01 GMT","[AI는 지금] ""챗GPT의 50분의 1""…딥시크 V4, AI 가격 전쟁 불 붙이나 - 지디넷코리아",https://tinyurl.com/2aozdasc
5,"Sat, 07 Mar 2026 00:00:00 GMT",인공지능 기술이 역사를 만든다? - 한겨레,https://tinyurl.com/24ugz645
6,"Fri, 06 Mar 2026 23:41:27 GMT","제주한라도서관, AI 시대 ‘좋은 삶’ 묻는다 - v.daum.net",https://tinyurl.com/24gprvnl
7,"Fri, 06 Mar 2026 23:34:00 GMT","오픈AI·오라클, 텍사스주 ‘스타게이트’ 데이터센터 확장 백지화 - KBS 뉴스",https://tinyurl.com/25b78dhm
8,"Fri, 06 Mar 2026 23:05:35 GMT","오라클·오픈AI, 텍사스 데이터센터 확장 계획 철회 - 마켓인",https://tinyurl.com/28w8dkke
9,"Fri, 06 Mar 2026 23:43:39 GMT","오픈AI·오라클, 텍사스 데이터센터 확장 계획 철회…메타 입주 관측 - 한국경제",https://tinyurl.com/2y2kybrl
10,"Fri, 06 Mar 2026 08:08:31 GMT","인공지능(AI) 혁신의 대장정 개막 ··· 관세청, '인공지능(AI) 관세행정 추진단' 출범 - 대한민국 정책브리핑",https://tinyurl.com/26c7ozc4
