번호,발행시간,뉴스제목,단축링크
1,"Tue, 02 Jun 2026 07:06:24 GMT","AI 모델 경쟁, 국방으로 번진다…네이버·NC AI 가세 - 지디넷코리아",https://tinyurl.com/23vmh9kd
2,"Mon, 01 Jun 2026 04:47:58 GMT","80년 수학 난제, AI가 풀었다…""무서울 정도로 똑똑해져"" - 뉴시스",https://tinyurl.com/2bx6fes9
3,"Wed, 03 Jun 2026 02:07:05 GMT",80년 컴퓨팅의 규칙을 깨다…AI 컴퓨팅의 근본을 재설계하는 ‘언컨벤셔널 AI’[최중혁의 월가를 흔드는 기업들-창업가편] - v.daum.net,https://tinyurl.com/28gt83d6
4,"Wed, 03 Jun 2026 02:10:00 GMT","젠슨 황, 4박5일 ‘AI 코리아 투어’…재계 총수부터 스타트업까지 만난다 - 이투데이",https://tinyurl.com/2a5p2xy8
5,"Wed, 03 Jun 2026 02:21:05 GMT","앤트로픽, AI 사이버 방패 '미토스' 권한 확대…삼성·SK·KISA 등 포함된 듯 - v.daum.net",https://tinyurl.com/22fwybf7
6,"Tue, 02 Jun 2026 00:00:00 GMT","과기정통부, 대표 누리집 인공지능 친화형으로 개선 - YTN 사이언스",https://tinyurl.com/2cf6uo9j
7,"Mon, 01 Jun 2026 21:00:00 GMT","美, 中 해외 자회사까지 AI칩 차단...화웨이 “압박 덕에 새 길 찾았다”[글로벌 모닝 브리핑] - 서울경제",https://tinyurl.com/2a27buvo
8,"Tue, 02 Jun 2026 05:57:49 GMT",단기 조정은 AI 주도주 매수 기회 - 한국경제,https://tinyurl.com/222cozdc
9,"Tue, 02 Jun 2026 21:00:00 GMT",젠슨 황도 픽한 ‘K로보틱스’···2차 깐부회동 앞두고 국내 피지컬 AI 산업 ‘들썩’ - 경향신문,https://tinyurl.com/2bsalmsr
10,"Wed, 03 Jun 2026 02:11:03 GMT","젠슨 황, 4박5일 ‘AI 코리아 투어’…재계 총수부터 스타트업까지 만난다 - v.daum.net",https://tinyurl.com/22chshsb
