번호,발행시간,뉴스제목,단축링크
1,"Sun, 07 Jun 2026 00:42:54 GMT","'AI' vs '로스쿨 교수', 법률 추론 대결...승자는 - 지디넷코리아",https://tinyurl.com/24f63gbs
2,"Sat, 06 Jun 2026 08:50:31 GMT",“AI 하자더니 보고서만 쓰다 나왔어요”…AI 인재들이 대기업 떠나는 이유 [MTR] - 매일경제,https://tinyurl.com/2477la5t
3,"Mon, 08 Jun 2026 02:26:16 GMT","전북교육청, AI·디지털 수업 공개…교원 역량 강화 - 뉴시스",https://tinyurl.com/26c253j4
4,"Mon, 08 Jun 2026 02:17:17 GMT","한국도로공사, 김천 율곡중학생 대상 AI 코딩 교육 실시 - 뉴시스",https://tinyurl.com/28elm7kn
5,"Mon, 08 Jun 2026 02:16:12 GMT","리드 호프먼 링크드인 창업자, MS 떠난다...AI 통찰·스타트업 네트워크 공백 우려 - 지디넷코리아",https://tinyurl.com/24uymr4r
6,"Sun, 07 Jun 2026 23:15:47 GMT","두산그룹, 엔비디아와 AI팩토리·피지컬AI 전방위 협력 추진 - 연합뉴스",https://tinyurl.com/2656qgcc
7,"Mon, 08 Jun 2026 01:44:38 GMT","단국대 ""인공지능·데이터 기반 연구혁신 본격화"" - 연합뉴스",https://tinyurl.com/23ltj4u9
8,"Mon, 08 Jun 2026 00:37:55 GMT",“인공지능과 지속 가능한 미래를 논하다”…'2026년 한국디지털정책학회 연합학술대회' 성료 - 전자신문,https://tinyurl.com/2xlefpeq
9,"Sun, 07 Jun 2026 23:04:53 GMT","""인공 지능(AI)과 빅데이터로 소방 현안 해결한다"" 소방청, 「제6회 소방 안전 빅데이터 활용 및 생각(아이디어) 경진대회」 공모 - 서울Pn",https://tinyurl.com/284c4qr2
10,"Mon, 08 Jun 2026 01:20:37 GMT","앤트로픽 ""AI가 AI를 만드는 시대, 지금 속도를 늦춰야 한다"" - itworld.co.kr",https://tinyurl.com/2ytjjemb
