번호,발행시간,뉴스제목,단축링크
1,"Tue, 03 Mar 2026 01:32:55 GMT",[AI는 지금] 이란 공습이 드러낸 AI 통제 갈등…美 정부-앤트로픽 균열 확산 - 지디넷코리아,https://tinyurl.com/2a2taggx
2,"Wed, 04 Mar 2026 21:00:00 GMT","팔란티어가 찾고, 앤스로픽이 분석하고, 인간이 발사 버튼... AI가 짠 ‘장대한 분노’ - 조선일보",https://tinyurl.com/24fyaoja
3,"Wed, 04 Mar 2026 10:50:16 GMT",미 핵심 전략무기에 인공지능까지 총동원‥중장기전 우려 - MBC 뉴스,https://tinyurl.com/259fo6db
4,"Wed, 04 Mar 2026 23:38:05 GMT","DGIST, 세계 최초 수소로 기억·학습하는 인공지능 반도체 개발 - 뉴시스",https://tinyurl.com/2czzykzs
5,"Thu, 05 Mar 2026 00:34:38 GMT",산소 대신 수소…AI 반도체 동작 원리 바꾼다[과학을읽다] - v.daum.net,https://tinyurl.com/23dozmzh
6,"Thu, 05 Mar 2026 00:31:00 GMT","DGIST, 세계 최초 ‘수소’로 기억하고 학습하는 AI 반도체 개발 - 데일리안",https://tinyurl.com/29lh4yn8
7,"Wed, 04 Mar 2026 23:58:33 GMT","젠슨 황 엔비디아 CEO ""오픈AI 44조원 투자, 마지막 될 것"" - 마켓인",https://tinyurl.com/23rf8twy
8,"Wed, 04 Mar 2026 23:33:00 GMT",젠슨 황 “오픈AI 투자 마지막일 수도”…‘1000억달러 투자’ 계획엔 “희박” - v.daum.net,https://tinyurl.com/275hgrqh
9,"Thu, 05 Mar 2026 00:20:00 GMT","젠슨 황 ""오픈AI 1천억 달러 투자 어려울 듯…최근 투자가 마지막"" - SBS 뉴스",https://tinyurl.com/2ybfln2a
10,"Thu, 05 Mar 2026 00:04:58 GMT","韓, AI 국제표준화 무대 영향력 확대 - v.daum.net",https://tinyurl.com/27wvu9kz
