번호,발행시간,뉴스제목,단축링크
1,"Wed, 01 Jul 2026 00:59:48 GMT","""로봇말 대신 자동차""...사람 형태 아닌 문제 해결이 피지컬 AI 본질 - 지디넷코리아",https://tinyurl.com/286ays3j
2,"Tue, 30 Jun 2026 06:47:00 GMT",아르헨 ‘비인간 AI기업’ 허용 추진…“그런 기업 범죄 처벌 어떻게?” - 한겨레,https://tinyurl.com/2bkkg45v
3,"Wed, 01 Jul 2026 02:14:58 GMT",[🍚 오밥뉴] 🧠 천안·아산 AI 도시 시동 | 오늘의 밥 친구 뉴스 (2026. 07. 01) - v.daum.net,https://tinyurl.com/2d5ugzxp
4,"Wed, 01 Jul 2026 02:19:22 GMT","강원랜드, 도박 중독 예방 'AI 상담 챗봇' 오픈 - 매일경제 마켓",https://tinyurl.com/2b3awdw6
5,"Wed, 01 Jul 2026 02:09:59 GMT","관세청, AI 혁신 사례 발굴 'AX 챌린지' 개최…실시간 위해 식·의약품 판별 모델 최우수 - 전자신문",https://tinyurl.com/29ef5hb4
6,"Tue, 30 Jun 2026 21:09:16 GMT",대통령은 큰절하려했다는데… ‘AI 3강’ 총괄할 사령탑은 두달째 공석 - 조선일보,https://tinyurl.com/2cvebq3a
7,"Tue, 30 Jun 2026 23:31:10 GMT","중부발전, 혁신대상 수상…자체 AI ‘하이코미’ 성과 - 전기신문",https://tinyurl.com/2dqgoa7b
8,"Tue, 30 Jun 2026 22:30:01 GMT","개인정보위, GPA 회원국에 한국 AI 프라이버시 정책 소개 - 연합뉴스",https://tinyurl.com/23xa73vl
9,"Tue, 30 Jun 2026 23:01:38 GMT",글로벌 개인정보 감독기구에 인공지능(AI) 대응 '실전해법' 제시 - 서울Pn,https://tinyurl.com/2a8tzw55
10,"Wed, 01 Jul 2026 00:22:11 GMT","개인정보위, 글로벌 개인정보 감독기구서 '한국 AI 프라이버시 정책' 소개 - 전자신문",https://tinyurl.com/2xu7odv2
