번호,발행시간,뉴스제목,단축링크
1,"Fri, 21 Aug 2026 23:43:55 GMT","[영상] ""보고서에만 AI 쓰는 기업, 결국 뒤처진다""…포티투마루의 AX 생존법 - 지디넷코리아",https://tinyurl.com/29gt6dq8
2,"Fri, 21 Aug 2026 23:59:00 GMT",AI의 새 위협 ‘가짜 독서’…“질문하는 문해력 필요한 시대” - 한겨레,https://tinyurl.com/2apya3xq
3,"Sun, 23 Aug 2026 00:06:05 GMT","KT-서울시, 초등생 100명 대상 ‘AI 미래 캠프’…기술·윤리 함께 배운다 - v.daum.net",https://tinyurl.com/29c8rfv5
4,"Sun, 23 Aug 2026 00:00:01 GMT",[테크스냅] LGU+·구글 AI 쇼츠 공모전에 5천여건 접수 - 연합뉴스,https://tinyurl.com/2bsjyrd8
5,"Sun, 23 Aug 2026 00:12:08 GMT",LGU+ 유튜브 AI 쇼츠 공모전 5009개 작품…수상자 11명 美 연수 - 전자신문,https://tinyurl.com/27ghlw3b
6,"Sun, 23 Aug 2026 00:00:00 GMT","LGU+, 유튜브와 함께한 '유쓰 AI 쇼츠 페스티벌' 5009건 접수 - 뉴시스",https://tinyurl.com/2ar99pcf
7,"Sun, 23 Aug 2026 00:22:45 GMT","'AI 풀스택' 엘리스그룹, 증권신고서 제출…코스닥 상장 목표 - 뉴시스",https://tinyurl.com/295dfsod
8,"Sat, 22 Aug 2026 22:33:00 GMT","무선 성장 멈추자 AI로…통신 3사, AIDC에 승부 건다 - 연합뉴스",https://tinyurl.com/2ymfqrc4
9,"Sat, 22 Aug 2026 02:12:00 GMT","안양시, 제1회 전 직원 인공 지능(AI) 활용 경진 대회 성료 - 브릿지경제",https://tinyurl.com/25x7ekl8
10,"Sat, 22 Aug 2026 04:55:00 GMT","美 시민단체 ""AI 기업 책 사재기·원본 폐기는 불공정 행위"" - 조선일보",https://tinyurl.com/26m38h9a
