번호,발행시간,뉴스제목,단축링크
1,"Tue, 23 Jun 2026 21:00:00 GMT","AI 인력 이탈에, 신규 모델 공개도 감감무소식···길어지는 구글 침묵, 위험 신호? - 경향신문",https://tinyurl.com/27d2fz4g
2,"Tue, 23 Jun 2026 00:53:59 GMT","""美 AI 독주 끝나나""…지푸 GLM-5.2, 앤트로픽 턱밑 추격 - 지디넷코리아",https://tinyurl.com/26s2ducg
3,"Wed, 24 Jun 2026 00:33:00 GMT","미 당국자 ""한국 완전한 AI 국내 소유는 발전 저해…미 기업 차별 안돼"" - SBS 뉴스",https://tinyurl.com/2aqd3z8t
4,"Mon, 22 Jun 2026 10:00:00 GMT","앤트로픽 생성형 AI, 미국인 아니면 못 쓰게 금지한 까닭 - 조선일보",https://tinyurl.com/2yljkk8z
5,"Wed, 24 Jun 2026 01:06:30 GMT","이노베이션아카데미-인공지능혁신융합대학사업단, AI인재 양성 맞손 - v.daum.net",https://tinyurl.com/2d9natnw
6,"Wed, 24 Jun 2026 00:46:00 GMT",제미나이 따라잡은 中 AI ‘즈푸’...중국 AI 자립 선봉장됐다 - 조선일보,https://tinyurl.com/22too9g3
7,"Wed, 24 Jun 2026 01:39:58 GMT","체육공단, 내·외부망 인공지능 협업 환경 구축…AI 전환 가속화 - 연합뉴스",https://tinyurl.com/2cswkmaf
8,"Tue, 23 Jun 2026 21:00:34 GMT","삼성, AI폰 초격차 이끌 신무기 개발…성능 끌어올릴 낸드 스펙 봤더니 - 매일경제",https://tinyurl.com/2acmdasc
9,"Wed, 24 Jun 2026 00:44:00 GMT","‘지식 붕괴’가 온다, AI 남용이 부르는 기업 역량 위기 - itworld.co.kr",https://tinyurl.com/24yfm53p
10,"Wed, 24 Jun 2026 02:05:37 GMT",해운물류 인공지능(AI) 전환 이끌 '융합인재' 육성 본격 시동 - 서울Pn,https://tinyurl.com/25nbgyor
