번호,발행시간,뉴스제목,단축링크
1,"Wed, 17 Jun 2026 01:45:00 GMT",[단독] 삼성전자 “AI전환 성과 전일제 환산”…인력감축 명분 우려 - 한겨레,https://tinyurl.com/2brqrjm7
2,"Tue, 16 Jun 2026 21:05:26 GMT","[비욘드IT] AI 성능 낮춘 앤트로픽, 결과값도 제어한다면 - 지디넷코리아",https://tinyurl.com/267latcm
3,"Wed, 17 Jun 2026 02:30:00 GMT","""미토스 수출 통제, 미 행정부의 'AI 주도권 확보 전략'과 모순"" - v.daum.net",https://tinyurl.com/2xnsw8c4
4,"Wed, 17 Jun 2026 02:14:20 GMT",[AI픽] '글래스윙' 막히자 한국형 AI 보안연합 뜬다…캐노피 출범 - 연합뉴스,https://tinyurl.com/286ql9od
5,"Wed, 17 Jun 2026 01:32:03 GMT","""북한, 엔비디아 GPU 확보""⋯드론·해킹 등 AI 군사 활용 가능성 제기 - v.daum.net",https://tinyurl.com/29smf6cf
6,"Wed, 17 Jun 2026 01:24:24 GMT","수은, 두산 태국 '인공지능 반도체 글로벌 생산거점 확대' 지원 - 연합뉴스",https://tinyurl.com/2ywy2ujm
7,"Wed, 17 Jun 2026 02:16:00 GMT","청년 AI 분석가, 서울 소상공인 매출 살린다…서울시 프로젝트 - v.daum.net",https://tinyurl.com/2a9d5dpw
8,"Wed, 17 Jun 2026 02:15:00 GMT","청년 AI 분석가 100개조, 서울시 내 골목상권 살린다 - 뉴시스",https://tinyurl.com/28uqsuvz
9,"Wed, 17 Jun 2026 02:15:03 GMT","서울시, 청년 AI 분석가 100팀이 골목상권 살린다 - 이데일리",https://tinyurl.com/2d2wu6yn
10,"Wed, 17 Jun 2026 01:00:07 GMT","[AI픽] 한국, 오픈AI와 AI 안전 동맹…미·영·일 이어 4번째 - 연합뉴스",https://tinyurl.com/28h35nzy
