번호,발행시간,뉴스제목,단축링크
1,"Fri, 06 Feb 2026 01:28:07 GMT","[AI는 지금] 오픈AI·앤트로픽, 코딩 AI 정면승부…SW 재편 우려에 美 증시도 '흔들' - 지디넷코리아",https://tinyurl.com/29ngkp33
2,"Wed, 04 Feb 2026 22:34:35 GMT",앤트로픽 “클로드는 끝까지 광고 없다”…오픈AI와 정면 대치 - 전자신문,https://tinyurl.com/27rnppuq
3,"Fri, 06 Feb 2026 07:48:00 GMT","자신을 만든 AI vs 작업계획 세우는 AI…오픈AI-앤트로픽, 새 모델 동시 출시 - 한겨레",https://tinyurl.com/26koe5eg
4,"Thu, 05 Feb 2026 20:50:00 GMT","[샷!] ""AI 다 폭파하고 옛날로 돌아가자"" - yna.co.kr",https://tinyurl.com/26g4ga3c
5,"Sat, 07 Feb 2026 04:01:25 GMT",조회수 47억도 하루아침에 증발…‘AI 딸깍’ 채널과 유료 강의의 덫 - v.daum.net,https://tinyurl.com/22om59do
6,"Sat, 07 Feb 2026 00:30:00 GMT",AI로 딸깍해 114억 번 유튜버 차단…'더미 영상과의 전쟁' 나선 빅테크들 - 네이트,https://tinyurl.com/2a7jraqx
7,"Fri, 06 Feb 2026 02:31:00 GMT","동해시, ‘인공지능’ 행정·산업 분야 접목 - KBS 뉴스",https://tinyurl.com/22hqqm6w
8,"Fri, 06 Feb 2026 08:12:56 GMT",[스타트업-ing] 라젠카AI “데이터 인공지능으로 헬스케어 금융 불편 해소” - 동아일보,https://tinyurl.com/2bu78e2r
9,"Sat, 07 Feb 2026 00:00:00 GMT","충북교육청, 올해 '인공지능(AI) 중점학교' 40곳 운영 - 노컷뉴스",https://tinyurl.com/22vhgtkg
10,"Fri, 06 Feb 2026 22:10:00 GMT",AI가 AI를 비서로 쓰는 시대가 왔다…인간 사용자 평가까지 하는 AI 전용 커뮤니티 ‘몰트북’ 등장 - 매거진한경,https://tinyurl.com/2xhq5lka
