번호,발행시간,뉴스제목,단축링크
1,"Sun, 31 May 2026 23:47:00 GMT","머스크 ‘우주 AI 데이터센터’ 첫발…신기원 이룰까, 신기루 그칠까 - 한겨레",https://tinyurl.com/28txgctl
2,"Mon, 01 Jun 2026 00:14:02 GMT","소프트뱅크, 프랑스에 132조원 AI 베팅…유럽 최대 데이터센터 짓는다 - 지디넷코리아",https://tinyurl.com/2a4hcgf9
3,"Sun, 31 May 2026 00:47:49 GMT","“미칠 듯한 발열이 문제라고?”…AI 데이터센터, 그래서 바닷속에 지어봤더니 - 매일경제",https://tinyurl.com/2ap3eb2z
4,"Sun, 31 May 2026 08:20:00 GMT","출연연 통폐합 '없다', 배 부총리 ""美·中 수준 프론티어 AI 도전이 우선"" - 헬로디디",https://tinyurl.com/2y8d5mao
5,"Mon, 01 Jun 2026 00:16:25 GMT",출범 8개월 국가AI전략위 “행동계획 등 대한민국 AI 대전환 기틀 마련” - 전자신문,https://tinyurl.com/25pfwl5c
6,"Mon, 01 Jun 2026 00:00:02 GMT","국가AI전략위 ""AI 3강 도약 기틀 마련""…주요 성과는? - 지디넷코리아",https://tinyurl.com/24vyj6bb
7,"Mon, 01 Jun 2026 02:25:32 GMT","컬리, 인공지능 솔루션 기업 '원지랩스' 인수…AI 전환 가속 - 아시아경제",https://tinyurl.com/29umxt8h
8,"Mon, 01 Jun 2026 02:07:15 GMT","컬리, ‘원지랩스’ 인수…AI 전환 속도 높인다 - 서울경제",https://tinyurl.com/2b5r4zg2
9,"Mon, 01 Jun 2026 02:14:42 GMT","컬리, AI 기업 '원지랩스' 인수…AI 전환 가속화 - 연합뉴스",https://tinyurl.com/29gvalsx
10,"Sun, 31 May 2026 21:00:00 GMT","젠슨황·최태원 총집결…K메모리·제조, AI 우군 확보 나선다 - 서울경제",https://tinyurl.com/2crmvf44
