번호,발행시간,뉴스제목,단축링크
1,"Fri, 20 Feb 2026 11:31:55 GMT","[단독] AI 사업 대가 기준 '1.5배' 오른다…""최종 논의 중"" - 지디넷코리아",https://tinyurl.com/28zv98st
2,"Sat, 21 Feb 2026 04:02:15 GMT","네이버·카카오, AI기업 탈바꿈…돈벌이 강화될까 - v.daum.net",https://tinyurl.com/2ch8vtp9
3,"Fri, 20 Feb 2026 07:53:00 GMT",‘독자 AI 모델 프로젝트’ 정예팀에 ‘모티프테크놀로지’ 추가 선정 - 경향신문,https://tinyurl.com/2cuwm45q
4,"Fri, 20 Feb 2026 07:10:12 GMT","모티프테크놀로지스, 독파모 정예팀 합류…'K-AI' 독자 모델 경쟁 가속 - 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5NUWNZRzZsdzk0cVIxWlJaOXBQRG9mTC1jUmg4WlF6N0hsa2dXa3p4RXdMdGFVWEM1SEM2WmIwUmdBWVFjUWotQUdMTjh2Y3BQajdGVlV3?oc=5
5,"Sat, 21 Feb 2026 04:00:00 GMT",'K-AI 국가대표' 4파전 재편… '신예' 모티프 합류로 불붙은 AI 대전 - 뉴시스,https://tinyurl.com/284c9bad
6,"Sat, 21 Feb 2026 04:39:00 GMT",일자리 뺏는 것은 AI보다 금리·인플레 - v.daum.net,https://tinyurl.com/24ctvakp
7,"Fri, 20 Feb 2026 23:49:27 GMT","FT “아마존, AI 오류로 클라우드 장애”…아마존 “직원 실수” - v.daum.net",https://tinyurl.com/26t75m2s
8,"Fri, 20 Feb 2026 23:18:56 GMT","아마존, AI 오류로 지난해 클라우드 장애…아마존 ""직원 실수"" - 연합뉴스",https://tinyurl.com/2cgdm6ka
9,"Fri, 20 Feb 2026 03:25:25 GMT","아마존, 직원들에게 앤스로픽 코딩 AI 사용 금지령 - 조선일보",https://tinyurl.com/26f523w4
10,"Fri, 20 Feb 2026 00:00:00 GMT",인공지능혁신대학원 신설...2030년까지 22곳 추진 - YTN 사이언스,https://tinyurl.com/2yo3zezl
