번호,발행시간,뉴스제목,단축링크
1,"Sun, 19 Apr 2026 22:02:03 GMT",“과제명에 ‘AI’ 빠지면 떨어진다...AI 비중 낮은 연구도 지원 필요해” - 조선일보,https://tinyurl.com/28s3q35a
2,"Sun, 19 Apr 2026 07:09:59 GMT",7년차 공무원이 불 붙인 'AI 자가개발' 열풍…과기정통부도 'AI 어벤저스' 출격 - 지디넷코리아,https://tinyurl.com/2y3nqca8
3,"Mon, 20 Apr 2026 00:57:01 GMT","고용부, 인공지능 직업훈련 수강생 위한 'AI 활용 기초역량 가이드북’ 발간 - 인공지능신문",https://tinyurl.com/298rgazr
4,"Mon, 20 Apr 2026 01:01:09 GMT","[AI픽] 한국, AI 통신표준 주도권 확보…국제회의서 주도 - 연합뉴스",https://tinyurl.com/2a38tpcs
5,"Mon, 20 Apr 2026 01:05:23 GMT",전남대 연구팀 '암 환자별 약물 반응 예측 AI 기술' 개발 - newsis.com,https://tinyurl.com/25o7gu2v
6,"Sun, 19 Apr 2026 21:00:00 GMT","“AI가 전부인 줄 아나” 어느 번역가의 혼잣말···‘딸깍’에 시작된 번역가 분투기[딸깍, 노동③] - 경향신문",https://tinyurl.com/2bzsk88m
7,"Sun, 19 Apr 2026 13:00:01 GMT","AI가 일자리 뺏는다?…""실제 퇴출 10%뿐"" - 한국경제",https://tinyurl.com/2bwx297m
8,"Sun, 19 Apr 2026 03:27:07 GMT","삼전·하닉 또 '폭락'은 아니겠지…구글 터보퀀트, ICLR 검증 앞두고 촉각[AI세계속으로] - v.daum.net",https://tinyurl.com/26wckjag
9,"Sun, 19 Apr 2026 11:29:00 GMT",차지호 “인공지능은 공공인프라...저개발국에 ‘AI 슈바이처’를” - 한겨레,https://tinyurl.com/2azqqo47
10,"Sun, 19 Apr 2026 23:47:00 GMT",인천시 관광기업 AI로 디지털 혁신 가속화...17개 기업 선정 - 브릿지경제,https://tinyurl.com/2c99jnya
