번호,발행시간,뉴스제목,단축링크
1,"Sun, 01 Mar 2026 10:23:00 GMT",인공지능이 인공지능을 쓰니 ‘팡! 과부하’…“구글 계정 정지됐다” - 한겨레,https://tinyurl.com/2yk4ube3
2,"Sat, 28 Feb 2026 17:00:00 GMT","""AI 남친과 200번 데이트""…현실 남성 대신 AI 택하는 中 여성들 - 뉴시스",https://tinyurl.com/24awwff7
3,"Sun, 01 Mar 2026 23:41:33 GMT","LG, 초거대 인공지능 ‘엑사원 4.5’ 상반기 공개…“K-엑사원은 글로벌 TOP 수준 개발할 것” - 문화일보",https://tinyurl.com/22xskzrk
4,"Mon, 02 Mar 2026 00:10:01 GMT",[코너 몰린 앤트로픽 ㊦] 트럼프發 배제 조치…AI 산업 '권력 재편' 시험대 - 지디넷코리아,https://tinyurl.com/2alh7frz
5,"Mon, 02 Mar 2026 00:39:00 GMT","트럼프 금지령에도…미, 이란 공습에 앤트로픽 AI 활용 - v.daum.net",https://tinyurl.com/2bfvkulj
6,"Sun, 01 Mar 2026 10:24:00 GMT","“폭군에 굴복한 챗지피티”…오픈 AI, 미 전쟁부와 협업 수용 - 한겨레",https://tinyurl.com/2yueep7o
7,"Sun, 01 Mar 2026 23:30:00 GMT","""생성형 AI가 전문직 청년 일자리를 빼앗고 있을까"" - 아시아경제",https://tinyurl.com/2xt4mn6v
8,"Sun, 01 Mar 2026 08:43:36 GMT",'곧 챗GPT 제친다'…한국서 결제액 '폭발' AI 뭐길래 - 한국경제,https://tinyurl.com/255mdw24
9,"Sun, 01 Mar 2026 22:00:05 GMT",[전남광주 통합] ② 인공지능·에너지·반도체 첨단산업 거점 목표 - 연합뉴스,https://tinyurl.com/2c3hmp8s
10,"Sun, 01 Mar 2026 21:38:00 GMT","화면 띄우고 ""받아 적어라""…광주인공지능사관학교 '방만 운영' 비판 - 뉴스1",https://tinyurl.com/2ah7ow2n
