번호,발행시간,뉴스제목,단축링크
1,"Thu, 05 Feb 2026 21:40:00 GMT",SNS 뒤덮은 기괴한 영상… ‘AI 쓰레기’ 몰려온다 - 한겨레,https://tinyurl.com/24lorj22
2,"Wed, 04 Feb 2026 03:39:10 GMT",생성형 AI 패러다임 바뀔까…구글 '지니' 공개에 산업계 지형 변화 예고 - 지디넷코리아,https://tinyurl.com/24oj5cnc
3,"Fri, 06 Feb 2026 04:44:13 GMT","한국인공지능협회, 전국 대학·산업 거점에서 'AI 세미나' 진행 - 뉴스1",https://tinyurl.com/25g68xt3
4,"Fri, 06 Feb 2026 04:42:08 GMT","지재처, 한-불 지식재산 협력 확대 합의…인공지능 시대 대응 - 뉴시스",https://tinyurl.com/2afqmnq9
5,"Fri, 06 Feb 2026 04:36:15 GMT",[몰트북 파장④] 에이전트 AI의 두 얼굴…통제냐 자율이냐 - 지디넷코리아,https://tinyurl.com/2agetwux
6,"Fri, 06 Feb 2026 02:19:15 GMT","전남대, 인공지능 거점대학 유치 추진 - yna.co.kr",https://tinyurl.com/2bataeoy
7,"Fri, 06 Feb 2026 02:35:00 GMT","부산시-해군, 해양·국방분야 인공지능 발전 '맞손' - 네이트",https://tinyurl.com/2xuunrg5
8,"Thu, 05 Feb 2026 21:50:16 GMT",[뉴욕증시] AI 회의론 심화에 하락 지속…'월가 공포지수' 17% 폭등 - v.daum.net,https://tinyurl.com/2ypc49a6
9,"Thu, 05 Feb 2026 22:42:00 GMT","뉴욕증시, AI 우려에 일제히 하락…다우 1.2%↓ - 경향신문",https://tinyurl.com/22cv63uf
10,"Fri, 06 Feb 2026 00:02:41 GMT","뉴욕증시 3대 지수 모두 하락, 인공지능 투자 거품 우려에 전방위 매도세 - 비즈니스포스트",https://tinyurl.com/29sss59o
