번호,발행시간,뉴스제목,단축링크
1,"Thu, 19 Mar 2026 10:43:59 GMT","AI 승부, 코딩도 전기도 아닌 사람이다 - 지디넷코리아",https://tinyurl.com/23863n44
2,"Wed, 18 Mar 2026 09:50:00 GMT","정부, 스마트안경·안전 로봇 등에 7500억 투입…“AI 전환 속도 낼 것” - 한겨레",https://tinyurl.com/27c48pcf
3,"Thu, 19 Mar 2026 22:45:01 GMT","""스마트폰·AI로 80억 세계인 마음 움직이자""…반크의 '외교혁명' - 연합뉴스",https://tinyurl.com/27r2s5kq
4,"Thu, 19 Mar 2026 21:00:00 GMT",[문화의 창] 김첨지의 인력거와 인공지능 - 이투데이,https://tinyurl.com/2cqn9shw
5,"Thu, 19 Mar 2026 21:06:05 GMT",“지역 현안인데” 국회 AI기관 신설 경쟁…공공기관 감사 뒷전 - v.daum.net,https://tinyurl.com/25apkr5n
6,"Thu, 19 Mar 2026 08:38:03 GMT","삼성전자, 오픈AI도 뚫었다…8억Gb 'HBM4' 단독 공급 - 한국경제",https://tinyurl.com/2aad2h2t
7,"Thu, 19 Mar 2026 08:41:00 GMT",‘AI 3강 코리아’ AMD 리사 수와 머리 맞댄 하정우 AI수석 - 경향신문,https://tinyurl.com/2akmjuth
8,"Fri, 20 Mar 2026 00:47:59 GMT","리사 수 AMD CEO, 이틀간 한국4 AI 생태계 전방위 행보 - 지디넷코리아",https://tinyurl.com/28vqqy8f
9,"Tue, 17 Mar 2026 07:00:00 GMT",국립대병원과 함께 공공의료 인공지능 확산 방안 논의 - 사진 | 멀티미디어 - 대한민국 정책브리핑,https://tinyurl.com/2c9zdrhj
10,"Fri, 20 Mar 2026 00:44:40 GMT","부산TP, AI 시대 조직 역량 강화 나서 - 뉴시스",https://tinyurl.com/29q86g2g
