번호,발행시간,뉴스제목,단축링크
1,"Thu, 17 Sep 2026 23:41:00 GMT","[AI는 지금] AI 속도조절하려면 속도부터 알아야…앤트로픽, 내부 지표 공개 - 지디넷코리아",https://tinyurl.com/28mz9cjj
2,"Fri, 18 Sep 2026 02:50:00 GMT","영국 국왕, 젠슨 황 등 AI 리더 만나…“더 늦기 전 통제권 지키자” - 한겨레",https://tinyurl.com/2dz7wcg9
3,"Sat, 19 Sep 2026 01:00:04 GMT","""GPU는 잊어라"" 경쟁사도 품은 엔비디아, 다음 먹거리는? [김인엽의 AI 프런티어] - 한국경제",https://tinyurl.com/2dlvfxcf
4,"Fri, 18 Sep 2026 22:39:00 GMT","AI 속도조절 말하던 머스크, 트럼프 설득해 AI규제 저지 - 서울경제",https://tinyurl.com/2algbktw
5,"Sat, 19 Sep 2026 01:52:42 GMT",[배종찬의 보안 빅데이터] 가족마저 손쉽게 속아 넘어가는 ‘AI 딥페이크’ - 보안뉴스,https://tinyurl.com/285649et
6,"Sat, 19 Sep 2026 01:48:07 GMT","제미나이도 외부기관 해킹 드러났는데…구글 ""공개할 사안 아냐"" - v.daum.net",https://tinyurl.com/29ryv62v
7,"Sat, 19 Sep 2026 01:37:22 GMT","앤트로픽, '외부 평가자' 액센추어 사내 배치…직원 수준 접근 허용 - 머니투데이 - 머니투데이",https://tinyurl.com/27ofe2yc
8,"Fri, 18 Sep 2026 21:00:00 GMT",챗GPT에 “의식 있느냐” 묻자…기자 얼어붙게 만든 섬뜩한 대답 - 중앙일보,https://tinyurl.com/22orwc46
9,"Fri, 18 Sep 2026 16:40:00 GMT",‘딥러닝 노벨상’ 힌턴 “AI 통제 남은시간 1년” - 동아일보,https://tinyurl.com/25856nj9
10,"Fri, 18 Sep 2026 21:59:03 GMT",인공지능 정보 보고서 치명적 오류…미중 전쟁 날 뻔 - 뉴시스,https://tinyurl.com/2a7pldgf
