번호,발행시간,뉴스제목,단축링크
1,"Thu, 26 Mar 2026 07:43:03 GMT","[AI는 지금] ""메모리 병목 뚫었다""…구글, '터보퀀트'로 AI 인프라 판 바꿀까 - 지디넷코리아",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBEN00xNGhPRTg4aElQTjhpdzVmQml3bk5KNHhUVjIxQ2p4dXBDek96Ynd1Z00tamVERWhqY09SM0gxNE5NWW56YzF1U0o1M2FtS21VQTFn?oc=5
2,"Thu, 26 Mar 2026 22:58:53 GMT","""터보퀀트, AI 추론 수요↑…최대 수혜는 삼전닉스 등 메모리반도체 업체"" - 마켓인",https://tinyurl.com/2952hfq9
3,"Thu, 26 Mar 2026 23:14:28 GMT","구글 제미나이, 경쟁 AI 채팅 기록 품는다…AI 이용자 쟁탈전 본격화 - 전자신문",https://tinyurl.com/29wguuka
4,"Wed, 25 Mar 2026 21:00:00 GMT",[단독]검증 안 된 ‘AI 상담’ 벌써 학교에 속속···교육당국 “우린 몰랐다” - 경향신문,https://tinyurl.com/24j5qx9k
5,"Fri, 27 Mar 2026 00:53:02 GMT","중국, 범용 인공지능 ‘통통’ 새 버전 곧 발표 - v.daum.net",https://tinyurl.com/222szlrh
6,"Fri, 27 Mar 2026 00:44:00 GMT",인공지능의 아첨이 도를 넘었다…‘맞장구 비율’ 사람보다 50% 높아 - 한겨레,https://news.google.com/rss/articles/CBMia0FVX3lxTFBJN05CcktDLVdTTEhTWWlaa1pWV2RlZFVfQ1h4czRmazNCbkZZT3J1c3RCbGdIc1RwOHg3UWQ1b09VczJNdHExUTN5YTJJNlF4R0dSMXFsaWtaOUFMaGc2NXg4LUthMHZEZXY4?oc=5
7,"Thu, 26 Mar 2026 23:18:03 GMT",경기도 ‘피지컬 AI 확산센터’ 시흥시로 - v.daum.net,https://tinyurl.com/2xpwsjay
8,"Fri, 27 Mar 2026 00:04:22 GMT","경기도, '피지컬 AI 확산센터' 시흥에 조성…현장 적용 실증거점 - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE45SWY2UXZBVnFyNWJORWcxdm16WU9MY2V0M3Q5QkM1MkYtS3FybDRoaEtLWWZWc0xhMHhUakUtei1BNUxlWU5kRE9DUEVuUE5mbFBJN1k5TXdhV2fSAWBBVV95cUxQX2xFSnByMVFNMktMZml0ODB5Q18wZld6eTNtSUE0VlpOWnhQcGdhTTJ3N1pkbzd0VURlTVZ4NjZVUXBZSzNVMzdlMG1GcWJIbThMY0NFQjBQN1Uzd29iNFk?oc=5
9,"Thu, 26 Mar 2026 22:42:47 GMT","경기도, 시흥시에 ‘피지컬 AI 확산센터’ 조성 - 서울와이어",https://news.google.com/rss/articles/CBMibEFVX3lxTE9Cajc1UE1kb251QnVJVXdOSFkwVWNQSGlhdXlOclhEc0NqVVNXUUthLS0xdllBNlNSWkQybm0xRFBxNFNrZjYybXVXd095RV9UU2gtVFkyRmc1YXh0b2wxVjFxdy1CUDNjcVRPVA?oc=5
10,"Thu, 26 Mar 2026 19:30:00 GMT",AI 행정 본격화… ‘서울 인공지능위원회’ 출범 - 동아일보,https://news.google.com/rss/articles/CBMidkFVX3lxTFBFUm1fZHd3eVU3S0VmaUZ1ajc1STVNamZQc0JzWHhLX2s2Q2N5Y01SOUN4MjNJenpuRXdDMmRLYXFTcmwzNmxYa1RsdXhQeXYxNmlfY21kaGNtZ3lnYXdBV0dzVGZpb09LQ3A0SEF2YjhyR2g0cVHSAWZBVV95cUxOLS0tVmY4V2tBQUpXWndoSzJ4OXdCZGYzT2p3ckJOS19iZ2dGSkRfUWlYVC1SQXVKb0tiWUFDeUFmbFpXbDZNTV9FcDM0R0dVZXlreVBwYmlnYmhhcjRmRE5EQWJRaUE?oc=5
