번호,발행시간,뉴스제목,단축링크
1,"Sat, 04 Jul 2026 01:00:17 GMT","""강제수용소"" 소동에서 AI 인프라 판매설까지…메타에선 무슨 일이 [김인엽의 AI 프런티어] - 한국경제",https://tinyurl.com/26acukr2
2,"Thu, 02 Jul 2026 22:49:52 GMT","저커버그 ""3~6개월 내 AI 투자로 더 큰 혜택 예상"" - 연합뉴스",https://tinyurl.com/25fvh6xy
3,"Thu, 02 Jul 2026 00:26:57 GMT","메타, 남는 AI 인프라 자원 판다…클라우드 진출 시사 - 지디넷코리아",https://tinyurl.com/274rb2l3
4,"Thu, 02 Jul 2026 08:52:40 GMT",초과세수 5조 투입…'소버린 AI' 개발한다 - 한국경제,https://tinyurl.com/2c5wcfvw
5,"Sun, 05 Jul 2026 00:51:02 GMT","서초구, AI 관련 구민 인식조사 착수…정책 기초자료로 활용 - v.daum.net",https://tinyurl.com/2xhkhyaa
6,"Sun, 05 Jul 2026 00:30:00 GMT",[AI위클리] 챗봇 넘어 '일하는 AI' 경쟁…쇼핑·검색·조직까지 바꾼다 - 연합뉴스,https://tinyurl.com/2agsde4m
7,"Sun, 05 Jul 2026 00:00:00 GMT",산재한 경찰 AI사업 한곳서 관리한다…첫 운영훈령 시행 - 뉴시스,https://tinyurl.com/28xz62mj
8,"Sat, 04 Jul 2026 04:44:20 GMT",AI 로봇 벌써 이렇게?…역대급 '로보컵' 인천서 - v.daum.net,https://tinyurl.com/23xuocpd
9,"Sat, 04 Jul 2026 16:04:00 GMT","[짤막상식] 움직이는 인공지능, 피지컬 AI - YTN",https://tinyurl.com/2db3dyao
10,"Sat, 04 Jul 2026 05:31:24 GMT","로봇캠퍼스, 인공지능·로봇기술 대회서 부스 운영…산학협력 논의 - gukjenews.com",https://tinyurl.com/298n9ou4
