번호,발행시간,뉴스제목,단축링크
1,"Wed, 03 Jun 2026 23:45:52 GMT","오픈AI ""州 AI규제 통합해 표준 만들자""…올트먼, 워싱턴 설득전 - 연합뉴스",https://tinyurl.com/2y8es6py
2,"Thu, 04 Jun 2026 02:32:30 GMT",AI 규제 난립에 제동 나선 오픈AI…“주별 법안 연방법으로 통합” - 문화일보,https://tinyurl.com/29zqumvb
3,"Wed, 03 Jun 2026 06:48:00 GMT","MS, 자체 AI 모델 7종 출시…오픈AI 의존 줄여 ‘경쟁구도’로 - 한겨레",https://tinyurl.com/2c245yde
4,"Tue, 02 Jun 2026 10:08:00 GMT",교황이 던진 ‘AI 시대의 묵직한 질문들’ [오철우의 과학풍경] - 한겨레,https://tinyurl.com/2dap4gfx
5,"Thu, 04 Jun 2026 02:10:18 GMT","국산 AI반도체 400여억 수출…배경훈 ""엔비디아급 기술력""(종합) - v.daum.net",https://tinyurl.com/2bcrgqg7
6,"Thu, 04 Jun 2026 01:24:00 GMT","국산 AI반도체, 해외서 460억 수출 계약…""상용화 넘어 실질 성과 내겠다"" - SBS 뉴스",https://tinyurl.com/24akhwhf
7,"Thu, 04 Jun 2026 01:03:13 GMT","""국산 AI 반도체 도약""…과기부, K-AI 반도체 성장 논의 - 연합인포맥스",https://tinyurl.com/25wgbt5h
8,"Thu, 04 Jun 2026 01:40:33 GMT","[K-VIBE] 정광복의 K-자율주행 도전기…블랙박스 된 AI, 법규 위반 딜레마 - 매일경제 마켓",https://tinyurl.com/255yvebg
9,"Thu, 04 Jun 2026 01:32:00 GMT","숙련공 노하우도 학습한다···NC AI, 한화오션 선박에 ‘로봇 AI 두뇌’ 공급 - 경향신문",https://tinyurl.com/2dfexuhq
10,"Thu, 04 Jun 2026 01:13:53 GMT","NC AI·한화오션, 조선업 자율 용접 인공지능 모델 개발 협력 - v.daum.net",https://tinyurl.com/25plx8vp
