번호,발행시간,뉴스제목,단축링크
1,"Tue, 07 Jul 2026 11:53:32 GMT","앤트로픽 ""AI도 말로 드러내지 않는 '속마음' 있다"" - 연합뉴스",https://tinyurl.com/275tznxp
2,"Tue, 07 Jul 2026 06:13:46 GMT",AI도 ‘속마음’ 있다...답변하지 않고도 생각 - 조선일보,https://tinyurl.com/22bvnzj3
3,"Wed, 08 Jul 2026 01:12:00 GMT","AI로 도시를 바꾼다···세종시, 행정혁신 아이디어 ‘한판 승부’ - 경향신문",https://tinyurl.com/26zrm39m
4,"Wed, 08 Jul 2026 01:20:02 GMT","[100세시대 재테크]AI 랠리, 혁신인가 버블인가 - v.daum.net",https://tinyurl.com/22rcb2ky
5,"Wed, 08 Jul 2026 01:22:16 GMT","효성그룹 AI융합연구원 신설, 초대 연구원장에 맹성현 카이스트 교수 영입 - 비즈니스포스트",https://tinyurl.com/2xlbl4vj
6,"Wed, 08 Jul 2026 01:05:53 GMT","호남권생물자원관, AI 기반 생물자원 활용 심포지엄 - 매일경제 마켓",https://tinyurl.com/28vnnl4t
7,"Wed, 08 Jul 2026 00:31:31 GMT","연준 ""AI 과잉투자 피하기 위한 선제적 억제 꼭 필요하진 않아"" - 연합인포맥스",https://tinyurl.com/234lsgdm
8,"Wed, 08 Jul 2026 01:05:57 GMT","네이버, AI 안전판 'ASF 2.0' 가동…AI탭에도 적용 - 뉴시스",https://tinyurl.com/2bya7p6f
9,"Wed, 08 Jul 2026 01:11:14 GMT","“이용자·서비스까지 AI 안전성 확대”…네이버, ASF 2.0 공개 - 서울경제신문",https://tinyurl.com/28zxxdoc
10,"Wed, 08 Jul 2026 01:05:54 GMT","""AI 레드라인 넘지 말자던 기업들, 절벽 위로 달려가고 있어"" - 한국경제",https://tinyurl.com/27gn8bnj
