번호,발행시간,뉴스제목,단축링크
1,"Thu, 25 Jun 2026 22:00:00 GMT","""로봇 열어보면 일본산""...일할 사람 없는 日 '피지컬 AI'로 채운다 - 머니투데이 - 머니투데이",https://tinyurl.com/2d9fdp3t
2,"Thu, 25 Jun 2026 02:44:52 GMT","[AI 리더스] 오혜연 ""글로벌 AI 협력, 한국이 의제 주도권 잡을 때"" - 지디넷코리아",https://tinyurl.com/22hkgjyx
3,"Sun, 28 Jun 2026 02:01:16 GMT","UNIST ""멀티모달 AI가 더 잘 배우는 이유 수학적으로 규명"" - v.daum.net",https://tinyurl.com/2678ev54
4,"Sun, 28 Jun 2026 00:00:06 GMT","SK AI위원장 ""3대 AI강국 도약 생태계 만들것…협력·자강 겸비"" - 연합뉴스",https://tinyurl.com/28nzm9k7
5,"Sun, 28 Jun 2026 01:50:00 GMT","SK AI위원장 ""AI 기술, 美와 협력하며 동시에 자강해야"" - 조선일보",https://tinyurl.com/2dn63whd
6,"Sun, 28 Jun 2026 00:00:00 GMT",SK AI 위원장 “자강 안하면 미래 없다...AI 3강 도울 것” - 서울경제,https://tinyurl.com/2cbjrgmw
7,"Sun, 28 Jun 2026 01:38:09 GMT","[경제] 신약 개발부터 공정 설계까지...AI 에이전트, 中 실물경제 역량으로 부상 - 내외뉴스통신",https://tinyurl.com/236qbzml
8,"Sun, 28 Jun 2026 00:30:01 GMT","[AI위클리] AI 경쟁, 국가전략으로 확전…에이전트 시대 개막 - 매일경제 마켓",https://tinyurl.com/2y46rel2
9,"Sat, 27 Jun 2026 23:00:00 GMT",AI 에이전트끼리 소통해 미팅 잡는다…HCG가 그리는 업무 풍속 - 서울경제,https://tinyurl.com/24evf7u6
10,"Sat, 27 Jun 2026 23:32:20 GMT","‘AI로 포트폴 사고 막는다’…수원시, 인공지능 기반 포트홀 탐지·관제·조치 시스템 구축 - 서울Pn",https://tinyurl.com/2yvl7tf3
